unique_id,ds,XGBRegressor
santa_maria,2024-02-19,7
santa_maria,2024-02-20,6
santa_maria,2024-02-21,6
santa_maria,2024-02-22,5
santa_maria,2024-02-23,5
santa_maria,2024-02-24,4
santa_maria,2024-02-25,3
santa_maria,2024-02-26,7
santa_maria,2024-02-27,6
santa_maria,2024-02-28,5
santa_maria,2024-02-29,5
santa_maria,2024-03-01,5
santa_maria,2024-03-02,4
santa_maria,2024-03-03,3
santa_maria,2024-03-04,7
santa_maria,2024-03-05,6
santa_maria,2024-03-06,5
santa_maria,2024-03-07,5
santa_maria,2024-03-08,5
santa_maria,2024-03-09,4
santa_maria,2024-03-10,3
santa_maria,2024-03-11,7
santa_maria,2024-03-12,6
santa_maria,2024-03-13,5
santa_maria,2024-03-14,5
santa_maria,2024-03-15,6
santa_maria,2024-03-16,5
santa_maria,2024-03-17,3
santa_maria,2024-03-18,7
santa_maria,2024-03-19,6
sao_sebastiao,2024-02-18,2
sao_sebastiao,2024-02-19,4
sao_sebastiao,2024-02-20,4
sao_sebastiao,2024-02-21,3
sao_sebastiao,2024-02-22,3
sao_sebastiao,2024-02-23,3
sao_sebastiao,2024-02-24,3
sao_sebastiao,2024-02-25,2
sao_sebastiao,2024-02-26,4
sao_sebastiao,2024-02-27,3
sao_sebastiao,2024-02-28,3
sao_sebastiao,2024-02-29,3
sao_sebastiao,2024-03-01,3
sao_sebastiao,2024-03-02,3
sao_sebastiao,2024-03-03,2
sao_sebastiao,2024-03-04,4
sao_sebastiao,2024-03-05,3
sao_sebastiao,2024-03-06,3
sao_sebastiao,2024-03-07,3
sao_sebastiao,2024-03-08,3
sao_sebastiao,2024-03-09,3
sao_sebastiao,2024-03-10,2
sao_sebastiao,2024-03-11,4
sao_sebastiao,2024-03-12,3
sao_sebastiao,2024-03-13,3
sao_sebastiao,2024-03-14,3
sao_sebastiao,2024-03-15,3
sao_sebastiao,2024-03-16,3
sao_sebastiao,2024-03-17,2
sao_sebastiao,2024-03-18,4
scia,2024-02-13,1
scia,2024-02-14,1
scia,2024-02-15,1
scia,2024-02-16,1
scia,2024-02-17,1
scia,2024-02-18,1
scia,2024-02-19,2
scia,2024-02-20,1
scia,2024-02-21,1
scia,2024-02-22,1
scia,2024-02-23,1
scia,2024-02-24,1
scia,2024-02-25,1
scia,2024-02-26,2
scia,2024-02-27,1
scia,2024-02-28,1
scia,2024-02-29,1
scia,2024-03-01,1
scia,2024-03-02,1
scia,2024-03-03,1
scia,2024-03-04,2
scia,2024-03-05,1
scia,2024-03-06,1
scia,2024-03-07,1
scia,2024-03-08,1
scia,2024-03-09,1
scia,2024-03-10,1
scia,2024-03-11,2
scia,2024-03-12,1
scia,2024-03-13,1
sia,2024-02-17,1
sia,2024-02-18,1
sia,2024-02-19,1
sia,2024-02-20,1
sia,2024-02-21,1
sia,2024-02-22,1
sia,2024-02-23,1
sia,2024-02-24,1
sia,2024-02-25,1
sia,2024-02-26,1
sia,2024-02-27,1
sia,2024-02-28,1
sia,2024-02-29,1
sia,2024-03-01,1
sia,2024-03-02,1
sia,2024-03-03,1
sia,2024-03-04,2
sia,2024-03-05,1
sia,2024-03-06,1
sia,2024-03-07,1
sia,2024-03-08,1
sia,2024-03-09,1
sia,2024-03-10,1
sia,2024-03-11,2
sia,2024-03-12,1
sia,2024-03-13,1
sia,2024-03-14,1
sia,2024-03-15,1
sia,2024-03-16,1
sia,2024-03-17,1
sistema_penitenciario,2022-07-04,3
sistema_penitenciario,2022-07-05,3
sistema_penitenciario,2022-07-06,2
sistema_penitenciario,2022-07-07,2
sistema_penitenciario,2022-07-08,3
sistema_penitenciario,2022-07-09,3
sistema_penitenciario,2022-07-10,2
sistema_penitenciario,2022-07-11,2
sistema_penitenciario,2022-07-12,2
sistema_penitenciario,2022-07-13,2
sistema_penitenciario,2022-07-14,2
sistema_penitenciario,2022-07-15,2
sistema_penitenciario,2022-07-16,2
sistema_penitenciario,2022-07-17,1
sistema_penitenciario,2022-07-18,2
sistema_penitenciario,2022-07-19,2
sistema_penitenciario,2022-07-20,2
sistema_penitenciario,2022-07-21,2
sistema_penitenciario,2022-07-22,2
sistema_penitenciario,2022-07-23,1
sistema_penitenciario,2022-07-24,1
sistema_penitenciario,2022-07-25,2
sistema_penitenciario,2022-07-26,2
sistema_penitenciario,2022-07-27,1
sistema_penitenciario,2022-07-28,1
sistema_penitenciario,2022-07-29,1
sistema_penitenciario,2022-07-30,1
sistema_penitenciario,2022-07-31,1
sistema_penitenciario,2022-08-01,1
sistema_penitenciario,2022-08-02,1
sobradinho,2024-02-18,9
sobradinho,2024-02-19,16
sobradinho,2024-02-20,17
sobradinho,2024-02-21,16
sobradinho,2024-02-22,13
sobradinho,2024-02-23,13
sobradinho,2024-02-24,11
sobradinho,2024-02-25,9
sobradinho,2024-02-26,15
sobradinho,2024-02-27,15
sobradinho,2024-02-28,14
sobradinho,2024-02-29,13
sobradinho,2024-03-01,14
sobradinho,2024-03-02,12
sobradinho,2024-03-03,9
sobradinho,2024-03-04,16
sobradinho,2024-03-05,15
sobradinho,2024-03-06,15
sobradinho,2024-03-07,14
sobradinho,2024-03-08,15
sobradinho,2024-03-09,12
sobradinho,2024-03-10,9
sobradinho,2024-03-11,17
sobradinho,2024-03-12,16
sobradinho,2024-03-13,15
sobradinho,2024-03-14,15
sobradinho,2024-03-15,16
sobradinho,2024-03-16,13
sobradinho,2024-03-17,10
sobradinho,2024-03-18,16
sobradinho_ii,2024-02-19,3
sobradinho_ii,2024-02-20,3
sobradinho_ii,2024-02-21,3
sobradinho_ii,2024-02-22,2
sobradinho_ii,2024-02-23,2
sobradinho_ii,2024-02-24,2
