unique_id,ds,XGBRegressor,y
itapoa,2024-02-06,2.1552162,1.0
itapoa,2024-02-07,2.0669093,0.0
itapoa,2024-02-08,2.0568252,0.0
itapoa,2024-02-09,2.1542704,0.0
itapoa,2024-02-10,1.9370812,4.0
itapoa,2024-02-11,1.7019752,1.0
jardim_botanico,2023-12-16,3.5310535,0.0
jardim_botanico,2023-12-17,2.2925584,0.0
jardim_botanico,2023-12-18,3.4353313,0.0
jardim_botanico,2023-12-19,3.3762522,0.0
jardim_botanico,2023-12-20,3.932952,1.0
jardim_botanico,2023-12-21,3.0100493,0.0
jardim_botanico,2023-12-22,3.1195393,1.0
jardim_botanico,2023-12-23,4.2622538,1.0
jardim_botanico,2023-12-24,2.7165267,2.0
jardim_botanico,2023-12-25,3.925766,1.0
jardim_botanico,2023-12-26,3.8014774,1.0
jardim_botanico,2023-12-27,3.3952541,1.0
jardim_botanico,2023-12-28,3.4148026,0.0
jardim_botanico,2023-12-29,3.5220184,2.0
jardim_botanico,2023-12-30,3.3332,1.0
jardim_botanico,2023-12-31,2.6122367,0.0
jardim_botanico,2024-01-01,4.709444,0.0
jardim_botanico,2024-01-02,4.610751,1.0
jardim_botanico,2024-01-03,4.3799543,0.0
jardim_botanico,2024-01-04,4.4727907,1.0
jardim_botanico,2024-01-05,4.6667733,2.0
jardim_botanico,2024-01-06,3.9098654,1.0
jardim_botanico,2024-01-07,3.799611,3.0
jardim_botanico,2024-01-08,6.0744386,0.0
jardim_botanico,2024-01-09,5.7052126,2.0
jardim_botanico,2024-01-10,6.1491957,2.0
jardim_botanico,2024-01-11,5.9354286,1.0
jardim_botanico,2024-01-12,6.6423335,1.0
jardim_botanico,2024-01-13,5.4754133,2.0
jardim_botanico,2024-01-14,5.6048675,1.0
jardim_botanico,2024-01-15,8.5095625,1.0
jardim_botanico,2024-01-16,9.17905,3.0
jardim_botanico,2024-01-17,7.774423,1.0
jardim_botanico,2024-01-18,7.795611,2.0
jardim_botanico,2024-01-19,8.260684,2.0
jardim_botanico,2024-01-20,7.623503,2.0
jardim_botanico,2024-01-21,6.711094,1.0
jardim_botanico,2024-01-22,8.441738,5.0
jardim_botanico,2024-01-23,8.306954,0.0
jardim_botanico,2024-01-24,7.500502,1.0
jardim_botanico,2024-01-25,6.871032,4.0
jardim_botanico,2024-01-26,7.154166,3.0
jardim_botanico,2024-01-27,6.806854,3.0
jardim_botanico,2024-01-28,6.040079,1.0
jardim_botanico,2024-01-29,8.139839,5.0
jardim_botanico,2024-01-30,7.6163716,0.0
jardim_botanico,2024-01-31,7.214516,3.0
jardim_botanico,2024-02-01,6.7165036,1.0
jardim_botanico,2024-02-02,6.8967133,4.0
jardim_botanico,2024-02-03,5.947473,1.0
jardim_botanico,2024-02-04,5.419961,2.0
jardim_botanico,2024-02-05,7.490795,4.0
jardim_botanico,2024-02-06,6.3940444,7.0
jardim_botanico,2024-02-07,6.2732434,10.0
jardim_botanico,2024-02-08,6.1209893,9.0
jardim_botanico,2024-02-09,6.3729753,7.0
jardim_botanico,2024-02-10,5.721988,2.0
jardim_botanico,2024-02-11,4.5223293,1.0
jardim_botanico,2024-02-12,7.4736366,4.0
jardim_botanico,2024-02-13,6.5813646,3.0
jardim_botanico,2024-02-14,6.164251,6.0
jardim_botanico,2024-02-15,5.9086647,6.0
jardim_botanico,2024-02-16,6.2040777,8.0
lago_norte,2023-12-18,2.1204286,2.0
